person_a,person_b,image
Joe Biden,Kamala Harris,Biden_Harris_750x500.jpg
Bill Clinton,Hillary Clinton,Bill-Clinton-Hillary-Rodham-Clinton.jpg
Chris Evans,Chris Hemsworth,Chris-Hemsworth-Chris-Evans.jpg
Donald Trump,JD Vance,Donald_Trump_JD_Vance.jpg
Barack Obama,Joe Biden,Obama_Biden.jpg
Chadwick Boseman,Robert Downey Jr.,RDJ-Chadwick-Boseman.jpg
Chris Evans,Scarlett Johansson,ScarlettJohansson_Chris_Evans.jpg
Chris Hemsworth,Scarlett Johansson,Scarlett_Johansson_Chris_Hemsworth.jpg
Mark Ruffalo,Scarlett Johansson,Scarlett_Johansson_Mark_Ruffalo.jpg
Ellen DeGeneres,Taylor Swift,Taylor-swift-ellen-degeneres.jpg
Barack Obama,Donald Trump,Trump_Obama.jpg
Beyoncé,Jay-Z,beyonce-jay-z.jpg
Beyoncé,Taylor Swift,beyonce-taylor-swift.jpg
Donald Trump,Joe Biden,biden-trump-46398.jpg
Chris Evans,Robert Downey Jr.,chris-evans-rdj.jpg
Kevin Durant,Stephen Curry,curry-durant.jpg
Jay-Z,Will Smith,jayz-will-smith.jpg
Drake,Kevin Hart,kevin-hart-drake.jpg
Kobe Bryant,Stephen Curry,kobe-curry.jpg
LeBron James,Stephen Curry,lebron-curry.jpg
Kevin Durant,LeBron James,lebron-durant.jpg
Jay-Z,LeBron James,lebron-jayz.jpg
Kevin Hart,LeBron James,lebron-kevin-hart.jpg
Barack Obama,LeBron James,lebron-obama.jpg
Barack Obama,Oprah Winfrey,obama_oprah.jpg
Beyoncé,Oprah Winfrey,oprah-beyonce.jpg
Klay Thompson,Stephen Curry,steph-klay.jpg
Donald Trump,Mike Pence,trump_pence.jpg
Kevin Hart,Will Smith,will-smith-kevin-hart.jpg
